OldDamAssetId,RunnerId,NewDamAssetId
2329404,5319881,5319881rid
2329403,5319880,5319880rid
2329402,5319879,5319879rid
2329372,5319878,5319878rid
2329371,5319877,5319877rid
2329370,5319876,5319876rid
2329369,5319875,5319875rid
2329368,5319874,5319874rid
2329367,5319873,5319873rid
2329366,5319872,5319872rid
2329365,5319871,5319871rid
2329364,5319870,5319870rid
2329355,5319869,5319869rid
2329354,5319868,5319868rid
2329353,5319867,5319867rid
2329352,5319866,5319866rid
2329351,5319865,5319865rid
2329350,5319864,5319864rid
2329349,5319863,5319863rid
2329348,5319862,5319862rid
2329347,5319861,5319861rid
2329179,5319860,5319860rid
2329178,5319859,5319859rid
2329176,5319858,5319858rid
2329175,5319857,5319857rid
2329174,5319856,5319856rid
2329173,5319855,5319855rid
2329172,5319854,5319854rid
2329171,5319853,5319853rid
2329170,5319852,5319852rid
2329168,5319851,5319851rid
2329167,5319850,5319850rid
2329166,5319849,5319849rid
2329165,5319848,5319848rid
2329164,5319847,5319847rid
2329163,5319846,5319846rid
2329162,5319845,5319845rid
2329161,5319844,5319844rid
2329160,5319843,5319843rid
2329156,5319842,5319842rid
2329155,5319841,5319841rid
2329154,5319840,5319840rid
2329153,5319839,5319839rid
2329152,5319838,5319838rid
2329151,5319837,5319837rid
2329150,5319836,5319836rid
2329149,5319835,5319835rid
2329148,5319834,5319834rid
2328486,5319833,5319833rid
2328485,5319832,5319832rid
2328483,5319831,5319831rid
2328482,5319830,5319830rid
2328481,5319829,5319829rid
2328479,5319828,5319828rid
2328478,5319827,5319827rid
2328477,5319826,5319826rid
2328476,5319825,5319825rid
2328467,5319824,5319824rid
2328466,5319823,5319823rid
2328465,5319822,5319822rid
2328464,5319821,5319821rid
2328462,5319820,5319820rid
2328461,5319819,5319819rid
2328460,5319818,5319818rid
2328459,5319817,5319817rid
2328458,5319816,5319816rid
2328323,5319815,5319815rid
2328322,5319814,5319814rid
2328321,5319813,5319813rid
2328320,5319812,5319812rid
2328319,5319811,5319811rid
2328318,5319810,5319810rid
2328316,5319809,5319809rid
2328314,5319808,5319808rid
2328313,5319807,5319807rid
2328312,5319806,5319806rid
2328311,5319805,5319805rid
2328310,5319804,5319804rid
2328308,5319803,5319803rid
2328306,5319802,5319802rid
2328289,5319801,5319801rid
2328288,5319800,5319800rid
2328287,5319799,5319799rid
2328285,5319798,5319798rid
2328284,5319795,5319795rid
2328283,5319794,5319794rid
2328282,5319793,5319793rid
2328281,5319792,5319792rid
